epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
42,394.901,2.4117,0.54072,1.05394,1.66263,0.05482,14.5596,0.54078,0.5698,0.56936,0.21613,0.61851,0.65591,0.72265,0.42459,3.09809,2.28495,0.40488,1.80948,0.1004,0,0.0091882,0.0091882,0.0091882
43,403.232,2.27096,0.49012,1.07893,1.67664,0.05112,14.4149,0.42038,0.39785,0.3059,0.0787,0.60698,0.54801,0.60259,0.29978,3.63254,3.00504,1.57664,3.08341,0.12715,0,0.0091684,0.0091684,0.0091684
44,411.565,2.28121,0.50682,1.05244,1.69781,0.05217,14.5623,0.47231,0.54839,0.4367,0.1199,0.57122,0.64516,0.63575,0.31385,3.53039,2.89667,0.72534,2.3409,0.11711,0,0.0091486,0.0091486,0.0091486
45,419.865,2.39115,0.56451,1.0568,1.78429,0.05358,14.4288,0.40542,0.26399,0.25713,0.05925,0.42324,0.52688,0.53288,0.27901,4.08819,2.82176,2.77625,3.56228,0.15673,0,0.0091288,0.0091288,0.0091288
46,428.878,2.27485,0.52362,1.08397,1.77992,0.05049,14.114,0.50649,0.50538,0.53194,0.17113,0.64469,0.58533,0.70397,0.49858,3.07749,1.93719,0.84288,2.58673,0.09756,0,0.009109,0.009109,0.009109
47,437.231,2.22907,0.54046,1.08824,1.72998,0.04955,14.215,0.4203,0.41935,0.37366,0.104,0.53722,0.62411,0.59896,0.37606,3.5471,2.24188,0.58565,2.08735,0.12756,0,0.0090892,0.0090892,0.0090892
48,445.644,2.23893,0.44058,1.07175,1.71889,0.05008,13.6325,0.19669,0.25806,0.12267,0.03079,0.42652,0.63441,0.46236,0.24935,4.62641,3.03082,1.40861,2.48165,0.19815,0,0.0090694,0.0090694,0.0090694
49,453.911,2.34888,0.44966,1.11304,1.74311,0.05376,13.3559,0.426,0.47312,0.38833,0.10948,0.61816,0.69892,0.72088,0.42445,3.73848,2.36696,0.79713,2.07667,0.13074,0,0.0090496,0.0090496,0.0090496
50,462.146,2.33098,0.43291,1.07498,1.72755,0.05168,13.1706,0.20641,0.32258,0.18904,0.04381,0.40683,0.6129,0.46938,0.26749,4.17379,2.71532,1.35445,3.2765,0.15934,0,0.0090298,0.0090298,0.0090298
51,470.352,2.24148,0.39996,1.04831,1.68849,0.05166,13.2914,0.47245,0.5914,0.50667,0.11179,0.6866,0.84946,0.83464,0.61327,3.54719,1.78482,0.58995,2.55923,0.11859,0,0.00901,0.00901,0.00901
52,478.616,2.25614,0.42118,1.06296,1.72798,0.05119,13.1093,0.17193,0.35484,0.12408,0.01991,0.42106,0.78204,0.53045,0.27102,4.38927,2.80196,1.46392,4.95017,0.17337,0,0.0089902,0.0089902,0.0089902
53,486.872,2.30575,0.46399,1.06393,1.65428,0.0505,13.2702,0.55728,0.4086,0.46268,0.14969,0.56781,0.60749,0.62104,0.44465,3.07032,2.10019,1.07214,2.8753,0.0977,0,0.0089704,0.0089704,0.0089704
54,495.064,2.38071,0.43084,1.02324,1.64269,0.05276,13.1394,0.16141,0.31183,0.12757,0.0251,0.35389,0.58065,0.36792,0.18752,4.14214,3.15623,1.46624,4.19184,0.15651,0,0.0089506,0.0089506,0.0089506
55,503.361,2.42141,0.41315,1.03884,1.59997,0.05545,12.937,0.25758,0.4086,0.25162,0.06775,0.46771,0.74194,0.54339,0.35889,3.84936,2.34316,0.81809,3.39277,0.14394,0,0.0089308,0.0089308,0.0089308
56,511.668,2.31946,0.41307,1.03969,1.62244,0.05275,12.8767,0.30229,0.3871,0.25259,0.05974,0.61829,0.78495,0.69233,0.35303,4.0084,2.42261,0.81864,3.57711,0.15398,0,0.008911,0.008911,0.008911
57,519.936,2.2138,0.37124,1.02934,1.61201,0.05068,12.3536,0.28531,0.32258,0.20619,0.03214,0.6562,0.74194,0.68594,0.29795,4.15002,3.0198,1.64621,4.14463,0.15603,0,0.0088912,0.0088912,0.0088912
58,528.301,2.2862,0.36649,1.03515,1.57316,0.05073,11.9997,0.18922,0.32258,0.19064,0.03044,0.34667,0.75269,0.57549,0.25894,4.40424,2.96949,0.90528,4.21837,0.17648,0,0.0088714,0.0088714,0.0088714
59,535.951,2.39443,0.34964,1.00471,1.59467,0.05439,12.0426,0.32406,0.31183,0.25534,0.06872,0.48733,0.58065,0.62459,0.33185,4.12057,2.54667,1.43529,3.4188,0.15547,0,0.0088516,0.0088516,0.0088516
