epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,247.789,0.54841,0.57891,0.43713,1.15405,0.96504,0.98579,0.98407,0.81817,0.97669,0.99769,0.99272,0.94548,0.76006,0.44873,0.47276,1.65683,0.00192278,0.00192278,0.00192278
41,253.733,0.54138,0.53581,0.42319,1.14277,0.98695,0.97619,0.98032,0.81372,0.99975,1,0.995,0.93985,0.73626,0.51096,0.4977,1.66018,0.0019208,0.0019208,0.0019208
42,259.641,0.64485,0.65994,0.49412,1.18587,0.99539,0.96429,0.9853,0.78769,0.99539,0.96429,0.97608,0.91591,0.81943,0.70957,0.55637,1.81836,0.00191882,0.00191882,0.00191882
43,265.543,0.5696,0.57679,0.43675,1.13765,0.95232,1,0.98909,0.80645,0.95232,1,0.98909,0.93685,0.85634,0.50457,0.52833,1.77553,0.00191684,0.00191684,0.00191684
44,271.471,0.57922,0.59019,0.46515,1.16765,0.94916,0.9881,0.98518,0.79331,0.96073,1,0.99323,0.92951,0.8003,0.59314,0.54567,1.73588,0.00191486,0.00191486,0.00191486
45,277.406,0.59212,0.55246,0.4674,1.18717,0.96747,0.95238,0.98019,0.76435,0.97957,0.96429,0.99295,0.93697,0.83819,0.44915,0.57513,1.74631,0.00191288,0.00191288,0.00191288
46,283.368,0.60781,0.67229,0.48425,1.17646,0.96482,0.97947,0.98706,0.7705,0.96482,0.97947,0.98726,0.92574,0.87758,0.55139,0.62094,1.84015,0.0019109,0.0019109,0.0019109
47,289.289,0.60299,0.62355,0.48212,1.2466,0.93128,1,0.98961,0.77849,0.93128,1,0.98961,0.93944,0.78772,0.43963,0.52182,1.67985,0.00190892,0.00190892,0.00190892
48,295.354,0.63396,0.56224,0.44718,1.23227,0.97359,0.9881,0.99335,0.80699,0.97359,0.9881,0.99335,0.92022,0.76464,0.72528,0.49939,1.77874,0.00190694,0.00190694,0.00190694
49,301.518,0.50316,0.58258,0.43847,1.13926,0.9513,0.93029,0.97054,0.74606,0.9513,0.93029,0.97,0.85346,0.87462,0.87312,0.62125,1.75206,0.00190496,0.00190496,0.00190496
50,307.441,0.57118,0.58849,0.4627,1.16283,0.97264,0.96429,0.98552,0.75124,0.97264,0.96429,0.98737,0.88948,0.86601,0.57335,0.59074,1.86221,0.00190298,0.00190298,0.00190298
51,313.351,0.57658,0.56804,0.45098,1.16322,0.94622,0.9881,0.98637,0.83571,0.95848,1,0.99358,0.95541,0.65729,0.42424,0.52567,1.49861,0.001901,0.001901,0.001901
52,319.305,0.5413,0.58222,0.42835,1.14654,0.96288,0.96429,0.99227,0.8223,0.97477,0.97619,0.99367,0.94717,0.70272,0.50007,0.56898,1.61509,0.00189902,0.00189902,0.00189902
53,325.191,0.53026,0.61427,0.4204,1.15083,0.97646,0.9881,0.99252,0.844,0.97646,0.9881,0.99273,0.94975,0.64761,0.42583,0.44735,1.51387,0.00189704,0.00189704,0.00189704
54,331.275,0.51878,0.63024,0.40262,1.116,0.98747,0.9881,0.99442,0.84673,0.98747,0.9881,0.99442,0.95075,0.70353,0.45207,0.48637,1.58233,0.00189506,0.00189506,0.00189506
55,337.255,0.51101,0.54417,0.41189,1.11898,1,0.99938,0.995,0.80596,1,0.99938,0.995,0.95135,0.7546,0.41835,0.44303,1.63456,0.00189308,0.00189308,0.00189308
56,343.201,0.52637,0.52277,0.41557,1.13918,0.99006,0.97619,0.99443,0.83905,0.99006,0.97619,0.99443,0.93854,0.61415,0.53277,0.45701,1.44438,0.0018911,0.0018911,0.0018911
57,349.1,0.53108,0.58846,0.42434,1.14403,0.97603,0.9881,0.98525,0.83607,0.97603,0.9881,0.98656,0.94487,0.6339,0.52773,0.47192,1.47436,0.00188912,0.00188912,0.00188912
58,354.988,0.54529,0.59851,0.42676,1.13316,0.96417,0.96104,0.97609,0.83298,0.96417,0.96104,0.98009,0.93926,0.69553,0.4458,0.61543,1.56658,0.00188714,0.00188714,0.00188714
59,360.883,0.49737,0.5505,0.41033,1.08996,0.97476,0.96429,0.99223,0.85093,0.97476,0.96429,0.99223,0.94427,0.6406,0.50364,0.51841,1.46126,0.00188516,0.00188516,0.00188516
60,367.046,0.49606,0.55246,0.42432,1.1009,0.9593,0.97619,0.98505,0.84803,0.9593,0.97619,0.98505,0.93088,0.56446,0.56888,0.48603,1.40849,0.00188318,0.00188318,0.00188318
61,373.003,0.51237,0.55029,0.39061,1.14368,0.99684,0.97619,0.98761,0.8566,0.99684,0.97619,0.99443,0.9526,0.56941,0.45493,0.43822,1.41451,0.0018812,0.0018812,0.0018812
62,378.999,0.48872,0.51678,0.3916,1.11267,0.97035,0.96429,0.98461,0.82911,0.97035,0.96429,0.99306,0.92044,0.72509,0.55289,0.50744,1.56791,0.00187922,0.00187922,0.00187922
63,384.912,0.5159,0.54547,0.39506,1.14629,0.99814,0.97619,0.98484,0.83102,1,0.98598,0.99455,0.9485,0.63656,0.47784,0.44181,1.53703,0.00187724,0.00187724,0.00187724
64,390.817,0.57039,0.55169,0.44144,1.17109,0.97548,0.9881,0.98523,0.84344,0.97548,0.9881,0.99398,0.95879,0.67274,0.35374,0.46832,1.5741,0.00187526,0.00187526,0.00187526
65,396.719,0.50213,0.52891,0.41263,1.08601,0.99959,0.9881,0.98789,0.87903,0.99959,0.9881,0.98789,0.96245,0.55866,0.37244,0.41993,1.43344,0.00187328,0.00187328,0.00187328
66,402.687,0.47051,0.47323,0.38832,1.06659,0.98195,0.9881,0.99337,0.85521,0.98195,0.9881,0.99337,0.96441,0.66634,0.42333,0.46267,1.53005,0.0018713,0.0018713,0.0018713
67,408.631,0.51705,0.51424,0.40255,1.13824,0.98655,0.9881,0.99111,0.89343,0.98655,0.9881,0.99304,0.95843,0.54407,0.44143,0.40214,1.35857,0.00186932,0.00186932,0.00186932
68,414.708,0.47457,0.47208,0.37939,1.06844,1,0.9721,0.9941,0.84617,1,0.9721,0.9941,0.94662,0.6895,0.4595,0.48211,1.61581,0.00186734,0.00186734,0.00186734
69,420.622,0.50308,0.52373,0.40197,1.13319,0.98805,0.98406,0.99443,0.86938,0.98805,0.98406,0.99443,0.94924,0.60226,0.52174,0.41843,1.47549,0.00186536,0.00186536,0.00186536
70,426.533,0.48589,0.48004,0.3808,1.11672,0.98648,1,0.99488,0.87992,0.98648,1,0.99488,0.95797,0.60895,0.41102,0.42294,1.45156,0.00186338,0.00186338,0.00186338
71,432.453,0.45448,0.4968,0.35313,1.02892,0.97164,0.96429,0.99058,0.84409,0.96271,0.9881,0.99005,0.90033,0.66883,0.74549,0.45586,1.51908,0.0018614,0.0018614,0.0018614
72,438.609,0.49656,0.51366,0.37115,1.10506,0.98704,0.90656,0.98462,0.86676,0.98704,0.90656,0.98596,0.94083,0.68003,0.46349,0.53705,1.51455,0.00185942,0.00185942,0.00185942
73,444.557,0.51178,0.56028,0.41239,1.10963,0.97565,1,0.99406,0.84589,0.97112,0.9881,0.98736,0.95688,0.68073,0.43036,0.46136,1.65132,0.00185744,0.00185744,0.00185744
74,450.509,0.49233,0.53208,0.38336,1.13811,0.97792,0.9881,0.9911,0.80987,0.97792,0.9881,0.9911,0.9416,0.68579,0.46909,0.50317,1.55187,0.00185546,0.00185546,0.00185546
75,456.463,0.47374,0.48767,0.36635,1.08423,0.97538,1,0.99381,0.88697,0.97538,1,0.99381,0.97111,0.54146,0.37567,0.41184,1.42025,0.00185348,0.00185348,0.00185348
76,462.541,0.47469,0.4755,0.37557,1.09204,0.94135,1,0.98934,0.85772,0.94135,1,0.98934,0.96115,0.64361,0.37168,0.51987,1.57665,0.0018515,0.0018515,0.0018515
