epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,563.784,1.7519,1.49485,1.25877,2.32574,0.65259,0.72736,0.80064,0.32904,0.70936,0.77419,0.8613,0.61912,1.91633,1.24816,1.45838,2.98059,0.0015974,0.0015974,0.0015974
63,572.725,1.74164,1.41858,1.23659,2.30069,0.7866,0.83251,0.85656,0.37732,0.7866,0.83251,0.86359,0.65671,1.82483,1.1508,1.32181,2.90812,0.0015908,0.0015908,0.0015908
64,581.699,1.81554,1.52669,1.26833,2.33541,0.74787,0.83871,0.84255,0.36053,0.77979,0.87097,0.88609,0.62247,1.889,1.24798,1.38036,2.97573,0.0015842,0.0015842,0.0015842
65,590.663,1.80061,1.40625,1.25395,2.27918,0.73465,0.93548,0.88496,0.40362,0.73465,0.93548,0.89261,0.66612,1.80347,1.26074,1.45609,2.89393,0.0015776,0.0015776,0.0015776
66,599.654,1.76364,1.45702,1.24563,2.30547,0.75224,0.93548,0.90771,0.38836,0.83546,0.96774,0.9564,0.68052,1.72936,1.22512,1.40735,2.85575,0.001571,0.001571,0.001571
67,608.633,1.77487,1.47141,1.19549,2.31045,0.72288,0.93548,0.8503,0.34664,0.69795,0.90323,0.85851,0.5987,1.87884,1.38803,1.25735,2.96693,0.0015644,0.0015644,0.0015644
68,617.63,1.68926,1.39523,1.19263,2.25352,0.77984,0.80002,0.86087,0.3606,0.77984,0.80002,0.86812,0.62545,1.7922,1.40368,1.40566,2.94576,0.0015578,0.0015578,0.0015578
69,626.58,1.7549,1.43854,1.1957,2.26303,0.75103,0.77419,0.84196,0.36564,0.78404,0.80645,0.86773,0.64954,1.79231,1.33934,1.46481,2.86362,0.0015512,0.0015512,0.0015512
70,635.572,1.69993,1.32098,1.18361,2.2301,0.9557,0.69629,0.8829,0.40579,0.9557,0.69629,0.88316,0.65834,1.93132,1.26304,1.29126,2.93744,0.0015446,0.0015446,0.0015446
71,644.503,1.78118,1.40324,1.18979,2.24374,0.71208,0.87772,0.86985,0.38074,0.71208,0.87772,0.86711,0.63374,1.86229,1.28142,1.29648,2.84212,0.001538,0.001538,0.001538
72,653.508,1.7421,1.3393,1.16428,2.26462,0.76421,0.7321,0.79518,0.34575,0.7814,0.80719,0.84441,0.61383,1.85873,1.4832,1.3266,2.81421,0.0015314,0.0015314,0.0015314
73,662.429,1.62314,1.33041,1.13854,2.17392,0.86984,0.80645,0.87361,0.37388,0.86984,0.80645,0.87919,0.60542,1.88095,1.91567,1.40462,2.87756,0.0015248,0.0015248,0.0015248
74,671.388,1.65953,1.28283,1.15044,2.17217,0.78997,0.90323,0.90547,0.42561,0.88506,0.90323,0.97767,0.69266,1.77822,1.17105,1.26444,2.80181,0.0015182,0.0015182,0.0015182
75,680.292,1.62152,1.32778,1.11511,2.21133,0.84208,0.86026,0.94563,0.40656,0.90104,0.93548,0.97925,0.68861,1.78012,1.31842,1.64417,2.83522,0.0015116,0.0015116,0.0015116
76,689.217,1.66292,1.41085,1.15657,2.19627,0.81309,0.87097,0.89258,0.42833,0.81309,0.87097,0.89258,0.69955,1.76117,1.151,1.12259,2.76771,0.001505,0.001505,0.001505
77,698.12,1.61945,1.31406,1.08902,2.15591,0.89793,0.85165,0.90283,0.39992,0.89793,0.85165,0.90283,0.69143,1.92267,1.20251,1.08228,2.90386,0.0014984,0.0014984,0.0014984
78,707.049,1.59898,1.31756,1.09328,2.144,0.86859,0.87097,0.90895,0.43705,0.83105,0.90323,0.92497,0.68867,1.76473,1.1938,1.17912,2.73196,0.0014918,0.0014918,0.0014918
79,715.973,1.60864,1.3764,1.14514,2.11552,0.79152,0.87097,0.88192,0.36341,0.84004,0.90323,0.93179,0.66874,1.68224,1.22308,1.43139,2.75088,0.0014852,0.0014852,0.0014852
80,724.89,1.5332,1.30942,1.12999,2.12572,0.77804,0.83871,0.87952,0.3497,0.89754,0.84794,0.94974,0.67715,1.75374,1.07454,1.30113,2.79492,0.0014786,0.0014786,0.0014786
81,733.822,1.70212,1.28296,1.1556,2.21406,0.81764,0.93548,0.89628,0.39825,0.81764,0.93548,0.91473,0.71506,1.87089,1.12494,1.19152,2.85305,0.001472,0.001472,0.001472
82,742.958,1.63218,1.30942,1.10094,2.18302,0.84793,0.87097,0.92301,0.45551,0.89362,0.90323,0.96854,0.72411,1.6879,1.04491,1.1083,2.76431,0.0014654,0.0014654,0.0014654
83,752.095,1.59135,1.39596,1.08702,2.12821,0.88916,0.87097,0.90989,0.43625,0.9265,0.90323,0.96321,0.68949,1.70197,1.35326,1.17319,2.80757,0.0014588,0.0014588,0.0014588
84,761.232,1.58221,1.34338,1.15703,2.17195,0.89269,0.87097,0.941,0.48857,0.90759,0.90323,0.97203,0.74296,1.74645,1.14017,1.06609,2.76513,0.0014522,0.0014522,0.0014522
85,770.343,1.60737,1.36134,1.0552,2.14183,0.80574,0.83871,0.86131,0.3627,0.80574,0.83871,0.87264,0.65433,1.96425,1.22942,1.23793,2.98274,0.0014456,0.0014456,0.0014456
86,779.281,1.56154,1.26269,1.08107,2.09091,0.87074,0.86928,0.89605,0.42746,0.89799,0.85216,0.92153,0.69313,1.77535,1.23716,1.34617,2.80926,0.001439,0.001439,0.001439
87,788.233,1.56064,1.23862,1.02893,2.09712,0.86409,0.83871,0.91238,0.45093,0.87873,0.87097,0.93452,0.71992,1.63258,1.07901,1.27583,2.67746,0.0014324,0.0014324,0.0014324
88,797.204,1.52411,1.22966,1.01917,2.08624,0.92282,0.93548,0.96031,0.47776,0.92282,0.93548,0.98145,0.75692,1.71384,1.02387,1.02677,2.71039,0.0014258,0.0014258,0.0014258
89,806.331,1.56087,1.2528,1.01924,2.07991,0.91982,0.96774,0.97489,0.48135,0.93804,1,0.99318,0.79468,1.7176,1.05868,0.98139,2.76238,0.0014192,0.0014192,0.0014192
90,815.324,1.56822,1.22406,1.07673,2.0343,0.85482,0.94993,0.91129,0.42045,0.85482,0.94993,0.92244,0.70502,1.76409,1.04758,1.01185,2.82487,0.0014126,0.0014126,0.0014126
91,824.243,1.51503,1.22834,1.00648,2.06227,0.83837,0.90323,0.92811,0.47344,0.87282,0.93548,0.97425,0.72691,1.5935,1.15301,1.1008,2.71527,0.001406,0.001406,0.001406
92,833.206,1.44492,1.2136,1.0405,2.06629,0.82273,0.93548,0.92167,0.47941,0.85135,0.96774,0.95427,0.74762,1.58599,0.98703,1.09785,2.68091,0.0013994,0.0013994,0.0013994
93,842.131,1.45863,1.10071,0.99222,2.06452,0.89969,0.86807,0.93257,0.50338,0.89969,0.86807,0.94464,0.77904,1.60289,1.04908,1.01709,2.68858,0.0013928,0.0013928,0.0013928
94,851.081,1.46169,1.2566,1.01001,2.04714,0.8975,0.93548,0.93769,0.42569,0.8975,0.93548,0.93995,0.70086,1.68318,1.20184,1.11963,2.87282,0.0013862,0.0013862,0.0013862
95,860.179,1.41265,1.22176,0.95499,2.00797,0.85227,0.93548,0.91972,0.46151,0.88384,0.96774,0.96133,0.70803,1.60488,1.07577,1.14893,2.65947,0.0013796,0.0013796,0.0013796
96,869.148,1.46499,1.13795,0.99078,1.98154,0.91778,0.90323,0.95992,0.47738,0.91778,0.90323,0.95992,0.75354,1.75045,0.96743,1.05121,2.68922,0.001373,0.001373,0.001373
97,878.154,1.48401,1.15723,0.96096,2.07477,0.90502,0.92236,0.93526,0.49073,0.90502,0.92236,0.94673,0.77115,1.63949,0.96269,1.03753,2.78136,0.0013664,0.0013664,0.0013664
98,887.294,1.52901,1.15986,1.01081,2.04752,0.93981,0.90323,0.95549,0.448,0.90803,0.95572,0.96899,0.75509,1.71833,1.07379,0.96894,2.83293,0.0013598,0.0013598,0.0013598
99,896.355,1.46524,1.16823,0.92655,2.03903,0.90177,0.83871,0.92123,0.44267,0.88269,0.83871,0.93724,0.71458,1.85667,1.23036,1.07957,2.92909,0.0013532,0.0013532,0.0013532
100,905.328,1.4127,1.1709,0.9261,1.95031,0.89329,0.81027,0.91444,0.43225,0.89329,0.81027,0.92186,0.7183,1.77297,1.10336,1.0557,2.90945,0.0013466,0.0013466,0.0013466
101,914.264,1.41999,1.1996,0.98698,1.98977,0.83201,0.96774,0.9355,0.46017,0.83201,0.96774,0.93643,0.6659,1.63776,1.44732,1.14432,2.67011,0.00134,0.00134,0.00134
102,923.341,1.33733,1.17342,0.9046,1.89817,0.95415,0.93548,0.94583,0.50809,0.95415,0.93548,0.96162,0.77598,1.65814,0.95165,0.91605,2.70102,0.0013334,0.0013334,0.0013334
103,932.425,1.4239,1.11879,0.93194,1.98015,0.9059,0.93177,0.96415,0.51308,0.93722,0.96333,0.98364,0.75201,1.608,1.14122,0.91815,2.64581,0.0013268,0.0013268,0.0013268
104,941.367,1.45747,1.17036,0.97718,2.06034,1,0.92794,0.98552,0.50935,1,0.92794,0.98971,0.77243,1.53369,0.99107,0.90304,2.59776,0.0013202,0.0013202,0.0013202
105,950.282,1.43391,1.18297,0.94365,1.95047,0.9673,0.95448,0.97677,0.51177,0.9673,0.95448,0.98788,0.80616,1.54371,0.96107,0.85179,2.6423,0.0013136,0.0013136,0.0013136
106,959.211,1.40084,1.29885,0.94495,1.95368,0.85691,0.90323,0.9515,0.47422,0.88751,0.93548,0.98261,0.76062,1.68574,0.91815,1.00343,2.6522,0.001307,0.001307,0.001307
107,968.115,1.35734,1.17077,0.96424,1.91105,0.9547,0.93548,0.96134,0.48308,0.99271,0.96774,0.98885,0.79145,1.60486,0.95561,0.94068,2.72062,0.0013004,0.0013004,0.0013004
108,977.021,1.32369,1.10701,0.8765,1.8885,0.89523,0.96774,0.93786,0.51007,0.94272,0.93548,0.96606,0.79749,1.54811,0.87678,0.96479,2.63212,0.0012938,0.0012938,0.0012938
109,985.898,1.3361,1.07387,0.8915,1.8493,0.96645,0.92949,0.93587,0.49471,0.96645,0.92949,0.95144,0.76605,1.54481,0.9454,0.91196,2.62148,0.0012872,0.0012872,0.0012872
110,994.824,1.44349,1.04762,0.94376,1.97241,0.96616,0.9212,0.9587,0.49789,0.96616,0.9212,0.96022,0.76267,1.5335,0.99768,1.0418,2.62299,0.0012806,0.0012806,0.0012806
111,1003.74,1.37141,1.05237,0.96491,1.97345,0.96542,0.90076,0.93111,0.528,1,0.93148,0.95593,0.8018,1.52368,0.91747,1.00634,2.57973,0.001274,0.001274,0.001274
112,1012.69,1.38427,1.21529,0.90798,1.95501,0.92902,0.93548,0.95162,0.5295,0.96189,0.96774,0.98517,0.80828,1.55897,0.90017,0.97357,2.5922,0.0012674,0.0012674,0.0012674
113,1021.64,1.31458,1.11708,0.8687,1.88861,0.9025,0.89598,0.91581,0.52172,0.93498,0.92795,0.95526,0.80758,1.49822,0.86741,0.89817,2.55385,0.0012608,0.0012608,0.0012608
114,1030.59,1.38607,1.03154,0.88613,1.9397,0.9057,0.92964,0.90129,0.49242,0.96853,0.99301,0.99312,0.77253,1.5863,0.92698,0.95134,2.65402,0.0012542,0.0012542,0.0012542
115,1039.48,1.34176,1.11973,0.90105,1.88338,0.87639,0.91505,0.92243,0.47902,0.90717,0.94591,0.95648,0.76505,1.60785,0.92539,1.00837,2.6577,0.0012476,0.0012476,0.0012476
116,1048.43,1.332,1.08382,0.91318,1.89694,0.96276,0.96774,0.93857,0.52093,0.99531,1,0.995,0.79336,1.55336,0.88155,0.87469,2.61075,0.001241,0.001241,0.001241
117,1057.34,1.32497,1.05625,0.84396,1.87611,0.93168,0.96774,0.95379,0.54595,0.91119,0.99311,0.97964,0.80264,1.58205,0.89844,0.87685,2.6055,0.0012344,0.0012344,0.0012344
118,1066.32,1.28479,1.11262,0.87354,1.8674,0.90411,0.90323,0.95042,0.46981,0.90411,0.90323,0.96429,0.77358,1.65709,1.05022,0.97855,2.76113,0.0012278,0.0012278,0.0012278
119,1075.26,1.31741,1.09025,0.90223,1.88535,0.96432,0.96774,0.97409,0.54179,0.96432,0.96774,0.98295,0.81645,1.52515,0.88262,0.87182,2.62086,0.0012212,0.0012212,0.0012212
120,1084.24,1.27751,1.04382,0.83846,1.86286,0.95751,0.96774,0.95491,0.57751,0.98976,1,0.995,0.82653,1.4516,0.83705,0.83891,2.53589,0.0012146,0.0012146,0.0012146
121,1093.16,1.27471,1.11479,0.8761,1.8606,0.90427,0.93548,0.95263,0.53566,0.90427,0.93548,0.95942,0.77412,1.46105,1.02975,0.90732,2.56733,0.001208,0.001208,0.001208
122,1102.1,1.24595,1.07545,0.83071,1.84004,0.96443,0.93548,0.96071,0.53728,0.96443,0.93548,0.9683,0.76251,1.44151,1.1959,0.91698,2.53155,0.0012014,0.0012014,0.0012014
123,1111.04,1.3656,1.16328,0.90828,1.86118,0.99368,0.93548,0.97182,0.51816,0.99368,0.93548,0.97182,0.79818,1.52749,0.89625,0.8713,2.61597,0.0011948,0.0011948,0.0011948
124,1119.97,1.20834,1.04521,0.81963,1.75382,0.96729,0.95432,0.97437,0.49887,0.96729,0.95432,0.97437,0.81248,1.59526,0.86063,0.87054,2.77647,0.0011882,0.0011882,0.0011882
125,1128.87,1.29359,1.12682,0.85336,1.85719,0.85038,0.91692,0.94959,0.51535,0.88019,0.94817,0.97561,0.81542,1.63913,0.83644,0.88519,2.59923,0.0011816,0.0011816,0.0011816
126,1137.81,1.29084,0.99926,0.8268,1.89549,0.95474,0.96774,0.96306,0.54025,0.9871,1,0.995,0.82545,1.4245,0.8012,0.88007,2.48333,0.001175,0.001175,0.001175
127,1146.74,1.2566,1.00298,0.85542,1.8273,0.98926,0.90323,0.98085,0.51379,1,0.92983,0.98614,0.81973,1.48478,0.81016,0.83107,2.57433,0.0011684,0.0011684,0.0011684
128,1155.66,1.25442,1.02185,0.84425,1.80473,0.99592,0.93548,0.95876,0.52929,0.99592,0.93548,0.97268,0.81155,1.46383,0.80486,0.84783,2.49602,0.0011618,0.0011618,0.0011618
129,1164.58,1.2297,1.12415,0.85081,1.82513,0.99278,0.96774,0.96574,0.53164,0.99278,0.96774,0.97931,0.79196,1.46303,1.03162,0.86064,2.50611,0.0011552,0.0011552,0.0011552
130,1173.53,1.21494,0.99665,0.77467,1.77359,0.9366,0.96774,0.96523,0.55305,0.9366,0.96774,0.96523,0.81016,1.42225,0.95635,0.88998,2.55396,0.0011486,0.0011486,0.0011486
