epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,182.15,1.13677,0.92028,0.01677,0.80661,0.8083,0.83625,0.49849,1.42451,0.89452,0.02667,0.00116964,0.00116964,0.00116964
57,185.215,1.16207,0.9108,0.01745,0.84229,0.77997,0.83896,0.49221,1.4219,0.89979,0.02662,0.00116492,0.00116492,0.00116492
58,188.29,1.09714,0.87866,0.01725,0.84899,0.80464,0.84883,0.50157,1.41148,0.94,0.02753,0.00116021,0.00116021,0.00116021
59,191.372,1.09828,0.85907,0.01604,0.84688,0.78746,0.8449,0.50402,1.44982,0.82229,0.0271,0.00115549,0.00115549,0.00115549
60,194.437,1.06878,0.86387,0.01592,0.84807,0.83464,0.89238,0.53711,1.4001,0.74579,0.02617,0.00115077,0.00115077,0.00115077
61,197.539,1.0667,0.85115,0.01565,0.85642,0.85255,0.86671,0.53143,1.36052,0.74629,0.0252,0.00114606,0.00114606,0.00114606
62,200.634,1.15215,0.89472,0.0178,0.86403,0.77543,0.83875,0.48527,1.52348,0.82135,0.02933,0.00114134,0.00114134,0.00114134
63,203.683,1.10646,0.90166,0.01604,0.83239,0.79247,0.83617,0.49887,1.46211,0.89701,0.02879,0.00113663,0.00113663,0.00113663
64,206.777,1.11832,0.91681,0.01693,0.81055,0.87431,0.88827,0.53049,1.39529,0.79486,0.0269,0.00113191,0.00113191,0.00113191
65,209.899,1.07307,0.84827,0.01587,0.78394,0.80491,0.83214,0.4597,1.60367,0.9398,0.03281,0.0011272,0.0011272,0.0011272
66,212.961,1.08468,0.8126,0.01624,0.83937,0.81841,0.86767,0.53092,1.43086,0.78726,0.02645,0.00112248,0.00112248,0.00112248
67,216.048,1.0776,0.82966,0.01603,0.87646,0.76752,0.85706,0.51015,1.40755,0.75978,0.02588,0.00111776,0.00111776,0.00111776
68,219.149,1.0622,0.83299,0.01591,0.82042,0.83133,0.84117,0.54675,1.27374,0.81249,0.02242,0.00111305,0.00111305,0.00111305
69,222.207,1.03063,0.8082,0.01537,0.86332,0.86041,0.88606,0.54755,1.35609,0.7173,0.02412,0.00110833,0.00110833,0.00110833
70,225.311,1.08769,0.84132,0.0158,0.90614,0.81147,0.89511,0.55771,1.32242,0.68801,0.02359,0.00110362,0.00110362,0.00110362
71,228.415,1.05904,0.81248,0.01581,0.86616,0.78491,0.83314,0.51408,1.40279,0.82293,0.025,0.0010989,0.0010989,0.0010989
72,231.472,1.07213,0.7999,0.01568,0.84822,0.82155,0.86964,0.53069,1.42623,0.77202,0.02596,0.00109419,0.00109419,0.00109419
73,234.574,1.05508,0.77285,0.01548,0.82766,0.84579,0.87792,0.57654,1.29672,0.67504,0.02368,0.00108947,0.00108947,0.00108947
74,237.68,1.06861,0.76977,0.01569,0.86367,0.80496,0.86696,0.53156,1.39512,0.74791,0.0267,0.00108475,0.00108475,0.00108475
