epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,938.754,1.52194,1.20924,1.09647,2.07272,0.92644,0.95122,0.96857,0.5504,0.95234,0.97482,0.97689,0.7873,1.3883,1.04239,0.99091,2.28703,0.0016766,0.0016766,0.0016766
51,957.306,1.4802,1.16,1.0893,2.06484,0.95099,0.94657,0.9854,0.59412,0.95099,0.94657,0.9854,0.81406,1.39542,1.10412,0.99704,2.34586,0.00167,0.00167,0.00167
52,975.898,1.49514,1.18409,1.12799,2.06428,0.8128,0.82927,0.89711,0.45775,0.85847,0.88777,0.95756,0.78752,1.75048,0.85784,1.0999,2.63445,0.0016634,0.0016634,0.0016634
53,994.46,1.43811,1.12493,1.06466,2.0453,0.81827,1,0.95179,0.58159,0.81827,1,0.95179,0.81477,1.29917,1.02576,1.00943,2.26933,0.0016568,0.0016568,0.0016568
54,1012.97,1.43753,1.13336,1.01706,2.00177,0.94412,0.95122,0.98223,0.6249,0.94412,0.95122,0.98223,0.77663,1.28801,1.21058,0.95098,2.2593,0.0016502,0.0016502,0.0016502
55,1031.47,1.42236,1.13525,1.06093,2.0045,0.88912,0.90244,0.97093,0.47677,0.88912,0.90244,0.97093,0.80829,1.63926,1.05743,0.96946,2.57082,0.0016436,0.0016436,0.0016436
56,1049.99,1.41601,1.16623,1.04535,1.96736,0.89518,0.83323,0.93162,0.49728,0.89518,0.83323,0.93181,0.69675,1.6427,2.09445,1.00528,2.57696,0.001637,0.001637,0.001637
57,1068.51,1.35572,1.10503,1.01177,1.96411,0.92906,0.95838,0.9848,0.58982,0.92906,0.95838,0.9848,0.83114,1.56428,1.04074,0.93563,2.54974,0.0016304,0.0016304,0.0016304
58,1087,1.36456,1.19192,1.02567,1.9412,0.85493,0.97561,0.97035,0.57181,0.85493,0.97561,0.97035,0.79443,1.44966,1.19532,0.87629,2.41659,0.0016238,0.0016238,0.0016238
59,1105.5,1.40053,1.19343,1.02992,1.95561,0.92987,0.97033,0.98545,0.62798,0.92987,0.97033,0.98545,0.86173,1.21788,0.95338,0.80824,2.16624,0.0016172,0.0016172,0.0016172
60,1124.09,1.38508,1.10454,1.00009,1.9557,0.92653,0.92283,0.966,0.5998,0.92653,0.92283,0.97406,0.79461,1.26617,1.14196,1.73869,2.21436,0.0016106,0.0016106,0.0016106
61,1142.61,1.36429,1.05529,0.96362,1.93799,0.94804,0.97561,0.992,0.62987,0.94804,0.97561,0.992,0.84976,1.25265,1.02928,0.78031,2.24699,0.001604,0.001604,0.001604
62,1161.14,1.35623,1.11852,0.97996,1.92253,0.92117,0.82927,0.9484,0.58273,0.87621,0.8633,0.95192,0.81437,1.30693,0.75384,0.91593,2.21159,0.0015974,0.0015974,0.0015974
63,1179.64,1.30081,1.05647,0.9257,1.87796,0.97463,0.93733,0.988,0.61046,0.97463,0.93733,0.988,0.85765,1.28586,0.75269,0.78403,2.1607,0.0015908,0.0015908,0.0015908
