epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1136.94,1.02377,0.62998,1.34635,0.87158,0.81625,0.85907,0.5121,1.51573,0.78562,1.80721,0.0093862,0.0093862,0.0093862
64,1154.87,1.01934,0.61655,1.33944,0.85677,0.80865,0.86677,0.49497,1.57171,0.78646,1.83826,0.0093763,0.0093763,0.0093763
65,1172.76,1.00945,0.62419,1.34085,0.85005,0.84206,0.87368,0.51059,1.50279,0.7496,1.83356,0.0093664,0.0093664,0.0093664
66,1190.66,0.99101,0.61102,1.31743,0.87038,0.85145,0.88684,0.50939,1.5305,0.69822,1.84954,0.0093565,0.0093565,0.0093565
67,1208.57,1.00202,0.60574,1.32061,0.78768,0.78314,0.80921,0.46809,1.53313,0.98282,1.82974,0.0093466,0.0093466,0.0093466
68,1226.51,0.99513,0.60475,1.31773,0.87681,0.78697,0.85917,0.51603,1.49574,0.78874,1.80422,0.0093367,0.0093367,0.0093367
69,1244.4,0.977,0.60054,1.31842,0.84448,0.81645,0.85913,0.49077,1.53173,0.83819,1.84965,0.0093268,0.0093268,0.0093268
70,1262.31,0.96528,0.60037,1.29855,0.83336,0.81414,0.84598,0.49426,1.53632,0.82828,1.86446,0.0093169,0.0093169,0.0093169
71,1280.18,0.96479,0.59298,1.28727,0.9107,0.83944,0.89542,0.5146,1.53625,0.69288,1.83907,0.009307,0.009307,0.009307
72,1298.11,0.96728,0.58788,1.29723,0.87698,0.80328,0.86113,0.50352,1.52741,0.78358,1.86249,0.0092971,0.0092971,0.0092971
73,1316.08,0.96495,0.58586,1.29562,0.86691,0.81904,0.87612,0.50834,1.50396,0.75788,1.81749,0.0092872,0.0092872,0.0092872
74,1334,0.96138,0.58699,1.28765,0.78175,0.81204,0.82166,0.49732,1.50998,0.8502,1.81325,0.0092773,0.0092773,0.0092773
75,1351.9,0.95932,0.58161,1.29067,0.84925,0.81118,0.85612,0.49666,1.49251,0.77564,1.82888,0.0092674,0.0092674,0.0092674
76,1369.81,0.9337,0.56565,1.2706,0.79807,0.83793,0.8527,0.50294,1.50548,0.79832,1.87098,0.0092575,0.0092575,0.0092575
77,1387.7,0.93391,0.57176,1.27282,0.83054,0.77795,0.82444,0.49106,1.51286,0.89608,1.86627,0.0092476,0.0092476,0.0092476
78,1405.63,0.93458,0.57162,1.27907,0.88537,0.8322,0.8945,0.53163,1.48837,0.6687,1.81461,0.0092377,0.0092377,0.0092377
79,1423.55,0.93756,0.56651,1.27942,0.84283,0.84217,0.87104,0.51232,1.5114,0.71744,1.84195,0.0092278,0.0092278,0.0092278
80,1441.46,0.91678,0.55139,1.25934,0.857,0.78962,0.85034,0.48831,1.57653,0.75931,1.92759,0.0092179,0.0092179,0.0092179
81,1459.36,0.92267,0.55562,1.25478,0.84138,0.79767,0.85326,0.50933,1.50227,0.79602,1.81974,0.009208,0.009208,0.009208
82,1477.27,0.93058,0.5548,1.27482,0.88968,0.81527,0.87971,0.51878,1.51649,0.71299,1.83382,0.0091981,0.0091981,0.0091981
83,1495.17,0.91578,0.54752,1.23953,0.84783,0.80554,0.82927,0.4746,1.56627,0.86031,1.90227,0.0091882,0.0091882,0.0091882
84,1513.09,0.89624,0.53939,1.24418,0.84375,0.77561,0.83069,0.4735,1.51614,0.85922,1.88416,0.0091783,0.0091783,0.0091783
85,1531.06,0.89626,0.54582,1.25028,0.82581,0.81179,0.84039,0.50153,1.47363,0.80675,1.82648,0.0091684,0.0091684,0.0091684
86,1548.97,0.90783,0.55235,1.25098,0.85489,0.77909,0.84724,0.48709,1.54626,0.79909,1.91474,0.0091585,0.0091585,0.0091585
87,1566.9,0.89197,0.55125,1.25181,0.83467,0.81992,0.85127,0.51523,1.48654,0.76583,1.85929,0.0091486,0.0091486,0.0091486
88,1584.84,0.88433,0.53313,1.23255,0.82723,0.77924,0.81848,0.50259,1.46066,0.89541,1.82258,0.0091387,0.0091387,0.0091387
89,1602.73,0.89764,0.54225,1.24106,0.83417,0.84184,0.87276,0.5259,1.4767,0.78775,1.80808,0.0091288,0.0091288,0.0091288
90,1620.66,0.89671,0.53838,1.23797,0.8656,0.81119,0.87806,0.51566,1.51253,0.75033,1.90575,0.0091189,0.0091189,0.0091189
91,1638.53,0.88219,0.52458,1.23405,0.80132,0.69957,0.7694,0.4565,1.56853,1.10577,1.93967,0.009109,0.009109,0.009109
92,1656.46,0.86577,0.52562,1.22107,0.86542,0.7436,0.83252,0.49503,1.56256,0.86019,1.95667,0.0090991,0.0090991,0.0090991
93,1674.39,0.88087,0.53739,1.23195,0.83788,0.81494,0.8504,0.49865,1.52538,0.77132,1.90067,0.0090892,0.0090892,0.0090892
94,1692.32,0.86441,0.52484,1.2113,0.84855,0.76526,0.8346,0.50343,1.51429,0.80211,1.8886,0.0090793,0.0090793,0.0090793
95,1710.2,0.87507,0.52489,1.22984,0.89228,0.82862,0.89144,0.52554,1.50291,0.7075,1.88,0.0090694,0.0090694,0.0090694
96,1728.12,0.86513,0.52633,1.22077,0.78712,0.79496,0.82683,0.48486,1.5284,0.88933,1.91349,0.0090595,0.0090595,0.0090595
97,1746.12,0.86026,0.52098,1.20457,0.84743,0.81707,0.85188,0.50629,1.50897,0.80925,1.90326,0.0090496,0.0090496,0.0090496
98,1764.04,0.8523,0.51114,1.20954,0.79572,0.79455,0.81416,0.48704,1.53995,0.86274,1.91813,0.0090397,0.0090397,0.0090397
99,1781.96,0.8575,0.51089,1.21571,0.83916,0.82088,0.8474,0.51964,1.49602,0.72965,1.87945,0.0090298,0.0090298,0.0090298
100,1799.89,0.85611,0.50769,1.21046,0.87412,0.80653,0.86147,0.52246,1.49649,0.74257,1.87061,0.0090199,0.0090199,0.0090199
101,1817.79,0.84784,0.5098,1.21031,0.84116,0.82246,0.86073,0.50724,1.52551,0.76106,1.92786,0.00901,0.00901,0.00901
102,1835.72,0.84812,0.51259,1.20405,0.80736,0.75153,0.79727,0.4812,1.53131,0.97063,1.92561,0.0090001,0.0090001,0.0090001
103,1853.64,0.84059,0.50301,1.20824,0.82528,0.79209,0.82921,0.50457,1.48231,0.86047,1.86656,0.0089902,0.0089902,0.0089902
104,1871.57,0.84655,0.50306,1.19897,0.81658,0.8548,0.86609,0.52742,1.47172,0.75081,1.86137,0.0089803,0.0089803,0.0089803
105,1889.5,0.83399,0.49623,1.19565,0.83515,0.81406,0.83669,0.49857,1.499,0.78214,1.93341,0.0089704,0.0089704,0.0089704
106,1907.41,0.83287,0.50172,1.19578,0.8314,0.8114,0.84808,0.50122,1.48292,0.78016,1.91735,0.0089605,0.0089605,0.0089605
107,1925.33,0.82492,0.49406,1.18465,0.83431,0.82996,0.85287,0.50861,1.50725,0.75314,1.88671,0.0089506,0.0089506,0.0089506
108,1943.24,0.84157,0.49857,1.20035,0.79466,0.81271,0.81017,0.48465,1.48985,0.84811,1.88443,0.0089407,0.0089407,0.0089407
109,1961.16,0.82256,0.48335,1.1817,0.82516,0.85205,0.87019,0.50636,1.51318,0.78297,1.90092,0.0089308,0.0089308,0.0089308
110,1979.32,0.82917,0.48876,1.1885,0.86053,0.83912,0.8749,0.52661,1.50819,0.76222,1.8988,0.0089209,0.0089209,0.0089209
111,1997.2,0.82089,0.49509,1.18629,0.84052,0.84845,0.86278,0.51872,1.48527,0.71119,1.89188,0.008911,0.008911,0.008911
112,2015.08,0.80975,0.48625,1.17952,0.82616,0.83133,0.84996,0.50833,1.50034,0.82095,1.92676,0.0089011,0.0089011,0.0089011
113,2032.96,0.81591,0.48735,1.18145,0.84867,0.82075,0.84769,0.51108,1.5247,0.75271,1.9578,0.0088912,0.0088912,0.0088912
114,2050.82,0.81663,0.48654,1.18314,0.85087,0.85256,0.86581,0.52681,1.52172,0.68381,1.93239,0.0088813,0.0088813,0.0088813
115,2068.73,0.79601,0.47552,1.16782,0.84889,0.83108,0.84694,0.50176,1.51396,0.75073,1.92598,0.0088714,0.0088714,0.0088714
116,2086.61,0.80448,0.48326,1.17465,0.81906,0.8302,0.84523,0.50489,1.52418,0.79381,1.96615,0.0088615,0.0088615,0.0088615
117,2104.53,0.79876,0.47334,1.17569,0.84674,0.81168,0.84337,0.49382,1.53038,0.85359,1.9146,0.0088516,0.0088516,0.0088516
