epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,78.7661,0.39591,0.52611,0.25453,0.0168,0.52219,0.82887,0.81905,0.88392,0.84279,0.82887,0.81905,0.88392,0.81927,0.32589,0.45411,0.51668,0.01406,0,0.0005545,0.0005545,0.0005545
47,80.4949,0.33865,0.48305,0.28667,0.01402,0.46397,0.81312,0.89524,0.89522,0.84654,0.81312,0.89524,0.89522,0.83187,0.36079,0.44497,0.50332,0.01545,0,0.0005446,0.0005446,0.0005446
48,82.0999,0.42477,0.50251,0.31598,0.01744,0.59626,0.79799,0.86532,0.87263,0.85452,0.79799,0.86532,0.87263,0.81591,0.28815,0.41872,0.53589,0.01239,0,0.0005347,0.0005347,0.0005347
49,83.7335,0.4082,0.47565,0.25923,0.01702,0.52002,0.7535,0.86667,0.85558,0.8356,0.7535,0.86667,0.85558,0.77838,0.29327,0.41447,0.57005,0.01266,0,0.0005248,0.0005248,0.0005248
50,85.4315,0.43985,0.48206,0.22674,0.01796,0.55132,0.73266,0.83523,0.82816,0.7984,0.73266,0.83523,0.82816,0.75222,0.35089,0.40788,0.59105,0.01527,0,0.0005149,0.0005149,0.0005149
51,87.19,0.32576,0.479,0.22712,0.01367,0.49874,0.7059,0.96011,0.82502,0.80139,0.7059,0.96011,0.82502,0.76929,0.30942,0.41044,0.58424,0.01336,0,0.000505,0.000505,0.000505
52,89.024,0.39367,0.45931,0.27643,0.01635,0.52352,0.71859,0.9728,0.82275,0.79157,0.71859,0.9728,0.82275,0.76989,0.32393,0.4047,0.56165,0.01398,0,0.0004951,0.0004951,0.0004951
53,90.7665,0.42282,0.51179,0.28559,0.01721,0.55133,0.75748,0.95189,0.86084,0.81642,0.75748,0.95189,0.86084,0.80507,0.37445,0.39547,0.50708,0.01625,0,0.0004852,0.0004852,0.0004852
54,92.5118,0.38999,0.47422,0.24708,0.01615,0.53692,0.79723,0.9619,0.91324,0.86526,0.79723,0.9619,0.91324,0.80453,0.3777,0.39363,0.45065,0.01644,0,0.0004753,0.0004753,0.0004753
55,94.3376,0.37038,0.49362,0.26941,0.01569,0.58784,0.85059,0.97596,0.94961,0.90646,0.85059,0.97596,0.94961,0.82946,0.37757,0.40026,0.42856,0.01647,0,0.0004654,0.0004654,0.0004654
56,96.2836,0.41806,0.54565,0.23607,0.01755,0.57649,0.8838,0.97143,0.96497,0.89635,0.8838,0.97143,0.96497,0.90439,0.42986,0.40258,0.38359,0.01892,0,0.0004555,0.0004555,0.0004555
57,98.0809,0.36598,0.46372,0.24487,0.01521,0.48568,0.86416,0.98095,0.95901,0.87196,0.86416,0.98095,0.95901,0.9002,0.48095,0.40158,0.38525,0.02106,0,0.0004456,0.0004456,0.0004456
58,99.7921,0.39242,0.49308,0.24651,0.01647,0.51812,0.865,0.98095,0.96724,0.89306,0.865,0.98095,0.96724,0.91185,0.41783,0.39913,0.37263,0.01799,0,0.0004357,0.0004357,0.0004357
59,101.595,0.44238,0.50667,0.30054,0.01841,0.65298,0.87161,0.96983,0.97277,0.936,0.87161,0.96983,0.97277,0.91632,0.31622,0.39459,0.38271,0.01339,0,0.0004258,0.0004258,0.0004258
60,108.833,0.34361,0.45322,0.23991,0.01422,0.51782,0.95275,0.9619,0.98756,0.92479,0.95275,0.9619,0.98756,0.9293,0.42174,0.39243,0.36351,0.01851,0,0.0004159,0.0004159,0.0004159
61,111.011,0.36197,0.46345,0.23203,0.01463,0.4648,0.95369,0.98059,0.99056,0.91855,0.95369,0.98059,0.99056,0.92672,0.45794,0.39169,0.34527,0.02023,0,0.000406,0.000406,0.000406
62,112.641,0.39028,0.49591,0.24945,0.01601,0.60505,0.93261,0.98095,0.98804,0.93591,0.93261,0.98095,0.98804,0.93107,0.36353,0.38934,0.33375,0.01579,0,0.0003961,0.0003961,0.0003961
63,114.306,0.39,0.50067,0.21226,0.01601,0.54313,0.85475,0.95275,0.96515,0.92457,0.85475,0.95275,0.96515,0.90761,0.30075,0.39274,0.39405,0.01267,0,0.0003862,0.0003862,0.0003862
64,116.109,0.40465,0.47448,0.24558,0.01633,0.51674,0.81081,0.95238,0.93445,0.90076,0.81081,0.95238,0.93445,0.87376,0.30798,0.39372,0.43984,0.013,0,0.0003763,0.0003763,0.0003763
65,117.77,0.36369,0.46862,0.19947,0.01517,0.56188,0.83631,0.90476,0.93066,0.88835,0.83631,0.90476,0.93066,0.86818,0.31849,0.39297,0.43434,0.01346,0,0.0003664,0.0003664,0.0003664
66,119.502,0.39505,0.47473,0.24232,0.01635,0.49354,0.85521,0.92381,0.94891,0.86053,0.85521,0.92381,0.94891,0.88403,0.51617,0.38277,0.4235,0.0225,0,0.0003565,0.0003565,0.0003565
67,121.192,0.38642,0.42875,0.24654,0.0162,0.44014,0.8615,0.8886,0.93847,0.85787,0.8615,0.8886,0.93847,0.87219,0.47811,0.38051,0.4446,0.02097,0,0.0003466,0.0003466,0.0003466
68,123.157,0.43396,0.47106,0.2608,0.01859,0.59454,0.80417,0.89956,0.89719,0.87677,0.80417,0.89956,0.89719,0.84752,0.24744,0.38224,0.50081,0.01065,0,0.0003367,0.0003367,0.0003367
69,125.082,0.44987,0.51786,0.21112,0.01903,0.60876,0.75745,0.90476,0.86973,0.83988,0.75745,0.90476,0.86973,0.81799,0.32586,0.38267,0.5684,0.01421,0,0.0003268,0.0003268,0.0003268
70,126.987,0.49969,0.47896,0.25721,0.02156,0.53359,0.70013,0.8672,0.83084,0.75608,0.70013,0.8672,0.83084,0.78037,0.46417,0.38686,0.68025,0.02049,0,0.0003169,0.0003169,0.0003169
71,132.554,0.45636,0.48235,0.25403,0.01903,0.52512,0.6828,0.87619,0.82734,0.76678,0.6828,0.87619,0.82734,0.77543,0.42307,0.38778,0.7059,0.01848,0,0.000307,0.000307,0.000307
72,136.313,0.38635,0.47345,0.23661,0.01642,0.56965,0.69493,0.86777,0.8321,0.78582,0.69493,0.86777,0.8321,0.78307,0.36464,0.37948,0.6836,0.0155,0,0.0002971,0.0002971,0.0002971
73,137.861,0.37953,0.42926,0.21737,0.01606,0.53319,0.72733,0.88916,0.84194,0.77823,0.72733,0.88916,0.84194,0.79258,0.42693,0.37391,0.66428,0.01831,0,0.0002872,0.0002872,0.0002872
74,139.535,0.39495,0.46321,0.22221,0.0165,0.49049,0.76591,0.85714,0.8535,0.79177,0.76591,0.85714,0.8535,0.80543,0.43249,0.36567,0.66565,0.01879,0,0.0002773,0.0002773,0.0002773
75,141.29,0.35532,0.45543,0.20162,0.0146,0.5265,0.76241,0.86667,0.86562,0.8423,0.76241,0.86667,0.86562,0.81745,0.31201,0.36391,0.65031,0.01361,0,0.0002674,0.0002674,0.0002674
76,143.176,0.33451,0.4714,0.19598,0.01326,0.5009,0.80342,0.85634,0.8574,0.84611,0.80342,0.85634,0.8574,0.80648,0.21634,0.36388,0.64807,0.00926,0,0.0002575,0.0002575,0.0002575
77,144.866,0.32231,0.43516,0.22988,0.01318,0.49466,0.80678,0.83509,0.85357,0.83938,0.80678,0.83509,0.85357,0.80425,0.2386,0.36363,0.64237,0.01022,0,0.0002476,0.0002476,0.0002476
78,146.55,0.32573,0.42284,0.19232,0.01348,0.46294,0.78919,0.8381,0.85258,0.83332,0.78919,0.8381,0.85258,0.80983,0.26967,0.36257,0.61223,0.01161,0,0.0002377,0.0002377,0.0002377
79,148.376,0.33101,0.4238,0.22241,0.01336,0.4797,0.73718,0.90828,0.87655,0.85189,0.73718,0.90828,0.87655,0.83009,0.32686,0.36145,0.53599,0.014,0,0.0002278,0.0002278,0.0002278
80,150.192,0.34762,0.42681,0.2141,0.01376,0.47494,0.75828,0.9262,0.90905,0.85472,0.75828,0.9262,0.90905,0.86028,0.39779,0.36023,0.47873,0.01719,0,0.0002179,0.0002179,0.0002179
81,152.03,0.31766,0.43047,0.19107,0.01285,0.45291,0.8198,0.90476,0.92932,0.87074,0.8198,0.90476,0.92932,0.88155,0.41067,0.36006,0.4427,0.0178,0,0.000208,0.000208,0.000208
82,154.832,0.35894,0.42798,0.20905,0.01471,0.49266,0.84544,0.94286,0.9477,0.89753,0.84544,0.94286,0.9477,0.90041,0.38219,0.36075,0.39036,0.01664,0,0.0001981,0.0001981,0.0001981
